Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
;1963;route;;Départementale N° 51;ROUTE DEPARTEMENTALE N? 51;route Départementale N° 51;;;;;;;;;;;;;;;;Actuellement av. de Choisy.;;;;;;;;;
;2487;ruelle;des;Postes;RUELLE DES POSTES;ruelle des Postes;;;;;;;;;;;;;;;;Actuellement partie de la rue Alibert.;;;;;;;;;
;2254;rue;;Raoul Mucet;RUE RAOUL MUCET;rue Raoul Mucet;;;;;;;;;;;;;;;;Ou Raoul Menuicet. Voir : Raoul Menuicet (rue).;;;;;;;;;
;2256;rue;;Raoul Lavenier;RUE RAOUL LAVENIER;rue Raoul Lavenier;;;;;;;;;;;;;;;;Actuellement rue du Plat d'Etain.;;;;;;;;;
;2346;rue;du;Puits au Marais;RUE DU PUITS AU MARAIS;rue du Puits au Marais;04e;;1867-02-27;;Saint-Gervais;;;;;;;;;;;Dénommée rue Aubriot par décret impérial du 27 février 1867.;;;;;;;;;
;2398;rue ou ruelle;au;Prince;RUE OU RUELLE AU PRINCE;rue ou ruelle au Prince;;;;;;;;;;;;;;;;Voir : Paon (cul-de-sac ou imp. du).;;;;;;;;;
;2412;rue;des;Prêtres;RUE DES PRETRES;rue des Prêtres;;;;;;;;;;;;;;;;Voir : Férou (imp.).;;;;;;;;;
;2446;porte;;Poupeline;PORTE POUPELINE;porte Poupeline;;;;;;;;;;;;;;;;Sur les fossés qui environnaient le territoire de Saint-Marcel. Elle était située rue des Hauts Fossés Saint-Marcel (Actuellement rues Le Brun et des Fossés Saint-Marcel).;;;;;;;;;
;2621;porte;de la;Poissonnière;PORTE DE LA POISSONNIERE;porte de la Poissonnière;;;;;;;;;;;;;;;;Ou Poissonnerie ou encore Poissonniers (porte des). Voir : Poissonnerie (porte de la).;;;;;;;;;
;2636;rue;aux;Poirées;RUE AUX POIREES;rue aux Poirées;;;;;;;;;;;;;;;;Supprimée par la construction des Halles Centrales. Elle commençait rue de la Grande Friperie (Supprimé.) et finissait rue Traînée (Actuellement rue Rambuteau).;;;;;;;;;
;2767;ruelle;de;Picpusse;RUELLE DE PICPUSSE;ruelle de Picpusse;;;;;;;;;;;;;;;;Voir : Picquepusse (ruelle de).;;;;;;;;;
;2789;cité;;Philippe;CITE PHILIPPE;cité Philippe;;;;;;;;;;;;;;;;Supprimé. lors de l'ouverture de la rue Cavendish. Elle était située rue de Meaux.;;;;;;;;;
;2657;partie de l'impasse;;Plet;PARTIE DE L'IMPASSE PLET;partie de l'impasse Plet;;;;;;;;;;;;;;;;Supprimé. Englobée par le boul. Romain Rolland.;;;;;;;;;
;2672;port;au;Plâtre;PORT AU PLATRE;port au Plâtre;;;;;;;;;;;;;;;;Il était situé au droit de la rue des Charbonniers, laquelle descendait autrefois jusqu'à la Seine.;;;;;;;;;
;2694;rue;;Planche Mibray;RUE PLANCHE MIBRAY;rue Planche Mibray;;;1851-03-11;;;;;;;;;;;;;Dénommée partie de la rue Saint-Martin par arrêté préfectoral du 11 mars 1851.;;;;;;;;;
;2725;rue qui tend;du;Pilori à la Porte de Buci;RUE QUI TEND DU PILORI A LA PORTE DE BUCI;rue qui tend du Pilori à la Porte de Buci;;;;;;;;;;;;;;;;Actuellement rue de Buci.;;;;;;;;;
;2491;cité;;Postel;CITE POSTEL;cité Postel;;;;;;;;;;;;;;;;Supprimé. Elle était située rue de Montreuil, 110.;;;;;;;;;
;15431;pont;aux;Tripes;PONT AUX TRIPES;pont aux Tripes;;;;;;;;;;;;;;;;Pont sur la Bièvre qui était situé sur le parcours de la rue Mouffetard;;;;;;;;;
;618;place;des;Victoires Nationales;PLACE DES VICTOIRES NATIONALES;place des Victoires Nationales;;;;;;;;;;;;;;;;Actuellement place des Victoires.;;;;;;;;;
;619;rue;des;Victoires;RUE DES VICTOIRES;rue des Victoires;;;;;;;;;;;;;;;;Ou Victoires Nationales. Actuellement rue Notre-Dame des Victoires.;;;;;;;;;
;448;rue;de;Viracoublé;RUE DE VIRACOUBLE;rue de Viracoublé;;;;;;;;;;;;;;;;Actuellement rue des Canettes.;;;;;;;;;
;491;rue;;Villequeux;RUE VILLEQUEUX;rue Villequeux;;;;;;;;;;;;;;;;Actuellement rue Gît-le-Coeur.;;;;;;;;;
;501;passage;de la;Ville;PASSAGE DE LA VILLE;passage de la Ville;;;;;;;;;;;;;;;;Supprimé. en 1941. Commençait av. de la Porte d'Ivry et finissait av. de la Porte de Choisy.;;;;;;;;;
;505;rue;de la;Villa des Beaux-Arts;RUE DE LA VILLA DES BEAUX-ARTS;rue de la Villa des Beaux-Arts;;;;;;;;;;;;;;;;Actuellement rue Hégésippe Moreau.;;;;;;;;;
;550;rue;des;Vieilles Tuileries;RUE DES VIEILLES TUILERIES;rue des Vieilles Tuileries;;;;;;;;;;;;;;;;Actuellement rue Saint-Jean-Baptiste de La Salle.;;;;;;;;;
;564;rue;de la;Vieille Plâtrière;RUE DE LA VIEILLE PLATRIERE;rue de la Vieille Plâtrière;;;;;;;;;;;;;;;;Actuellement partie de la rue Serpente.;;;;;;;;;
;565;rue;de la;Vieille Plâtrière;RUE DE LA VIEILLE PLATRIERE;rue de la Vieille Plâtrière;;;;;;;;;;;;;;;;Actuellement partie de la rue Hautefeuille.;;;;;;;;;
;573;rue;de la;Vieille Monnaie;RUE DE LA VIEILLE MONNAIE;rue de la Vieille Monnaie;;;;;;;;;;;;;;;;Supprimée par l'ouverture du boulevard de Sébastopol. Elle allait de la rue des Ecrivains à la rue des Lombards. Dès 1243, rue de la Vieille Monnaie. En 1636, rue Passementière.;;;;;;;;;
;921;petite rue;;Traverse;PETITE RUE TRAVERSE;petite rue Traverse;;;;;;;;;;;;;;;;Actuellement rue d'Olivet.;;;;;;;;;
;7305;passage;;César;PASSAGE CESAR;passage César;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. de la Tour-Maubourg.;;;;;;;;;
;7311;sente;des;Cerisiers;SENTE DES CERISIERS;sente des Cerisiers;;;;;;;;;;;;;;;;Supprimé. Elle débouchait rue de la Butte du Chapeau (Supprimé.).;;;;;;;;;
;7994;rue;;Beaurepaire;RUE BEAUREPAIRE;rue Beaurepaire;;;;;;;;;;;;;;;;Voir : Neuve de Richelieu (rue).;;;;;;;;;
;8604;rue;de l';Allemandier;RUE DE L'ALLEMANDIER;rue de l'Allemandier;;;;;;;;;;;;;;;;Actuellement rue Laplace.;;;;;;;;;
;7361;rue;;Catinat;RUE CATINAT;rue Catinat;;;;;;;;;;;;;;;;Actuellement rue de la Sorbonne.;;;;;;;;;
;7374;rue;;Caspienne;RUE CASPIENNE;rue Caspienne;;;;;;;;;;;;;;;;Supprimé. Etait située rue du Volga.;;;;;;;;;
