houseNumberId,houseNumberLabel,houseNumberGeomWKT
https://www.openstreetmap.org/node/10694607901,19,POINT(2.318321 48.882612)
https://www.openstreetmap.org/node/10696951905,9,POINT(2.302473 48.886515)
https://www.openstreetmap.org/node/10704240841,31,POINT(2.407266 48.857552)
https://www.openstreetmap.org/node/10704244313,3,POINT(2.406031 48.856546)
https://www.openstreetmap.org/node/10704248756,7,POINT(2.406324 48.856776)
https://www.openstreetmap.org/node/10704260332,41,POINT(2.407069 48.858192)
https://www.openstreetmap.org/node/10707495479,32,POINT(2.397484 48.856809)
https://www.openstreetmap.org/node/10707504203,4,POINT(2.398150 48.856889)
https://www.openstreetmap.org/node/10707504204,4,POINT(2.398085 48.856891)
https://www.openstreetmap.org/node/10707504705,36,POINT(2.397898 48.856890)
https://www.openstreetmap.org/node/10707544941,6,POINT(2.404634 48.859810)
https://www.openstreetmap.org/node/10720830922,15,POINT(2.342955 48.896681)
https://www.openstreetmap.org/node/10726094354,13 bis,POINT(2.395524 48.865890)
https://www.openstreetmap.org/node/10726094362,3 bis,POINT(2.395004 48.865562)
https://www.openstreetmap.org/node/10726204806,21,POINT(2.390960 48.863911)
https://www.openstreetmap.org/node/10726204807,25,POINT(2.391326 48.863978)
https://www.openstreetmap.org/node/10726204808,31 bis,POINT(2.392376 48.864224)
https://www.openstreetmap.org/node/10726204814,37 bis,POINT(2.393063 48.864398)
https://www.openstreetmap.org/node/10726204815,39 bis,POINT(2.393333 48.864467)
https://www.openstreetmap.org/node/10733136077,48,POINT(2.311217 48.895885)
https://www.openstreetmap.org/node/10733136078,48,POINT(2.311305 48.895919)
https://www.openstreetmap.org/node/10734408519,31,POINT(2.400691 48.851852)
https://www.openstreetmap.org/node/10742386613,135,POINT(2.403360 48.857951)
https://www.openstreetmap.org/node/10743383106,67,POINT(2.401484 48.855343)
https://www.openstreetmap.org/node/10747074980,21,POINT(2.378302 48.872675)
https://www.openstreetmap.org/node/10753686987,60,POINT(2.346098 48.894251)
https://www.openstreetmap.org/node/10758391928,5,POINT(2.297595 48.887660)
https://www.openstreetmap.org/node/10762016743,34,POINT(2.311877 48.895587)
https://www.openstreetmap.org/node/10762016744,8,POINT(2.311162 48.896001)
https://www.openstreetmap.org/node/10766815253,24,POINT(2.394288 48.873022)
https://www.openstreetmap.org/node/10766815255,22,POINT(2.394369 48.872906)
https://www.openstreetmap.org/node/10767319940,52,POINT(2.398339 48.851927)
https://www.openstreetmap.org/node/10772094515,130 bis,POINT(2.395706 48.855631)
https://www.openstreetmap.org/node/10772094517,122 bis,POINT(2.395865 48.855040)
https://www.openstreetmap.org/node/10772094521,112,POINT(2.396418 48.854326)
https://www.openstreetmap.org/node/10772099006,9,POINT(2.390689 48.858863)
https://www.openstreetmap.org/node/10772576426,51,POINT(2.345774 48.890004)
https://www.openstreetmap.org/node/10776101768,119,POINT(2.388189 48.868130)
https://www.openstreetmap.org/node/10776914114,8,POINT(2.395158 48.875723)
https://www.openstreetmap.org/node/10777625520,26,POINT(2.322135 48.900405)
https://www.openstreetmap.org/node/10781182303,9,POINT(2.305232 48.881457)
https://www.openstreetmap.org/node/10782713456,5 C,POINT(2.375381 48.877967)
https://www.openstreetmap.org/node/10782713457,5 B,POINT(2.375416 48.877920)
https://www.openstreetmap.org/node/10782720784,16,POINT(2.375703 48.879685)
https://www.openstreetmap.org/node/10782720796,12;14,POINT(2.375707 48.879405)
https://www.openstreetmap.org/node/10783769775,6,POINT(2.382081 48.869998)
https://www.openstreetmap.org/node/10785452566,83 ter,POINT(2.375890 48.883045)
https://www.openstreetmap.org/node/10785452616,80,POINT(2.378361 48.884085)
https://www.openstreetmap.org/node/10788880752,33,POINT(2.375965 48.877817)
https://www.openstreetmap.org/node/10788880816,11,POINT(2.375486 48.879345)
